Company,Industry,Short Description (< 5 words),Title,Technology,Tag,Year,Link,content_type,year_bucket,stratum,sample_id
Swiggy,Delivery and mobility,Transform user questions to SQL queries,Hermes: A Text-to-SQL solution at Swiggy,Generative AI & LLM,product feature,2024,https://bytes.swiggy.com/hermes-a-text-to-sql-solution-at-swiggy-81573fb4fb6e,article,2024+,Delivery and mobility | Generative AI & LLM | article | 2024+,case_000
Microsoft,Tech,Diagnose production incidents with LLM,Large-language models for automatic cloud incident management,Generative AI & LLM,software ops,2023,https://www.microsoft.com/en-us/research/blog/large-language-models-for-automatic-cloud-incident-management/,article,2021-2023,Tech | Generative AI & LLM | article | 2021-2023,case_001
Dropbox,Tech,Identify best time for renewal charge,Optimizing payments with machine learning,Predictive ML,ops,2021,https://dropbox.tech/machine-learning/optimizing-payments-with-machine-learning,article,2021-2023,Tech | Predictive ML | article | 2021-2023,case_002
Nubank,Fintech and banking,Build RAG-based internal chatbot,AskNu: A RAG solution to increase Employees Productivity at Nubank,RAG,chatbot,2025,https://building.nubank.com/ai-solution-for-search/,article,2024+,Fintech and banking | RAG | article | 2024+,case_003
Expedia,"Travel,E-commerce and retail",Building a personal travel assistant ,Traveling Just Got a Lot Smarter with Romie,Generative AI & LLM,product feature,2024,https://medium.com/expedia-group-tech/traveling-just-got-a-whole-lot-smarter-with-romie-dfb9b21c07c5,article,2024+,"Travel,E-commerce and retail | Generative AI & LLM | article | 2024+",case_004
Lemonade,Fintech and banking,Build customer-support GenAI agent,[VIDEO] RAG pain-points and solutions,RAG,customer support,2024,https://www.youtube.com/watch?v=XGJOU2sysjg,video,2024+,Fintech and banking | RAG | video | 2024+,case_005
Slack,Tech,Enterprise search,How we built enterprise search to be secure and private,RAG,search,2025,https://slack.engineering/how-we-built-enterprise-search-to-be-secure-and-private/,article,2024+,Tech | RAG | article | 2024+,case_006
Apple,Tech,Identify text language,Language Identification from Very Short Strings,NLP,product feature,2019,https://machinelearning.apple.com/research/language-identification-from-very-short-strings,article,2017-2020,Tech | NLP | article | 2017-2020,case_007
Bumble,Social platforms,Derive information from images,Image detection as a service,CV,product feature,2020,https://medium.com/bumble-tech/image-detection-as-a-service-9bd463f74f43,article,2017-2020,Social platforms | CV | article | 2017-2020,case_008
Swiggy,Delivery and mobility,Insights on adopting CodeGen tools,How GenAI Codegen tools are helping us deliver convenience quicker,Predictive ML,code generation / review,2023,https://bytes.swiggy.com/how-genai-codegen-tools-are-helping-us-deliver-convenience-quicker-133248a0c714,article,2021-2023,Delivery and mobility | Predictive ML | article | 2021-2023,case_009
Glassdoor,Social platforms,Recommend interesting posts to users ,Personalized Fishbowl Recommendations with Learned Embeddings: Part 2,Predictive ML,recommender system,2022,https://medium.com/glassdoor-engineering/personalized-fishbowl-recommendations-with-learned-embeddings-part-2-78a16b04d396,article,2021-2023,Social platforms | Predictive ML | article | 2021-2023,case_010
New York Times,Media and streaming,Detect and recognize handwriting,Experimenting with Handwriting Recognition for The New York Times Crossword,CV,product feature,2024,https://open.nytimes.com/experimenting-with-handwriting-recognition-for-new-york-times-crossword-a78e08fec08f,article,2024+,Media and streaming | CV | article | 2024+,case_011
ManoMano,E-commerce and retail,Improve compatibility in DIY product recommendations,Compatibility Challenges in Recommendation System,Predictive ML,recommender system,2025,https://medium.com/manomano-tech/compatibility-challenges-in-recommendation-system-4d233c676d35,article,2024+,E-commerce and retail | Predictive ML | article | 2024+,case_012
Airbnb,"Travel,E-commerce and retail",Recommend marketplace items,Machine Learning-Powered Search Ranking of Airbnb Experiences,Predictive ML,search,2019,https://medium.com/airbnb-engineering/machine-learning-powered-search-ranking-of-airbnb-experiences-110b4b1a0789,article,2017-2020,"Travel,E-commerce and retail | Predictive ML | article | 2017-2020",case_013
Picnic,Delivery and mobility,Improve search relevance for product listings,Enhancing Search Retrieval with Large Language Models (LLMs),Generative AI & LLM,search,2024,https://blog.picnic.nl/enhancing-search-retrieval-with-large-language-models-llms-7c3748b26d72,article,2024+,Delivery and mobility | Generative AI & LLM | article | 2024+,case_014
Canva,Tech,Find and replace similar images,Image replacement in Canva designs using reverse image search,CV,search,2025,https://www.canva.dev/blog/engineering/image-replacement-in-canva-designs-using-reverse-image-search/,article,2024+,Tech | CV | article | 2024+,case_015
Wayfair,E-commerce and retail,Optimize digital ads,Building Scalable and Performant Marketing ML Systems at Wayfair,Predictive ML,"propensity to buy,ad ranking / targeting",2021,https://www.aboutwayfair.com/careers/tech-blog/building-scalable-and-performant-marketing-ml-systems-at-wayfair,article,2021-2023,E-commerce and retail | Predictive ML | article | 2021-2023,case_016
Discord,Social platforms,Find relationships in data,Learning from structure: Discord's Entity-Relationship Embeddings ,NLP,"ops,data analytics",2024,https://discord.com/blog/learning-from-structure-discords-entity-relationship-embeddings,article,2024+,Social platforms | NLP | article | 2024+,case_017
Vinted,E-commerce and retail,Personalize fashion recommendations,Adopting the Vespa search engine for serving personalized second-hand fashion recommendations at Vinted,Predictive ML,recommender system,2023,https://vinted.engineering/2023/10/09/adopting-vespa-for-recommendation-retrieval/,article,2021-2023,E-commerce and retail | Predictive ML | article | 2021-2023,case_018
Yelp,Social platforms,Organize e-commerce content using embeddings,Yelp Content As Embeddings,CV,item classification,2023,https://engineeringblog.yelp.com/2023/04/yelp-content-as-embeddings.html,article,2021-2023,Social platforms | CV | article | 2021-2023,case_019
Criteo,Tech,Deliver personalized ads in real-time,Improving Consistency Models with Generator-Augmented Flows,Predictive ML,"ad ranking / targeting,content personalization",2025,https://medium.com/criteo-engineering/improving-consistency-models-with-generator-augmented-flows-abc2ae135506,article,2024+,Tech | Predictive ML | article | 2024+,case_020
Roblox,Gaming,Moderate content in real time,How Roblox Uses AI to Moderate Content on a Massive Scale,Generative AI & LLM,spam / content moderation,2025,https://corp.roblox.com/newsroom/2025/07/roblox-ai-moderation-massive-scale,article,2024+,Gaming | Generative AI & LLM | article | 2024+,case_021
Lyft,Delivery and mobility,Make causally valid forecasts,Causal Forecasting at Lyft (Part 1),Predictive ML,"causality,demand forecasting",2022,https://eng.lyft.com/causal-forecasting-at-lyft-part-1-14cca6ff3d6d,article,2021-2023,Delivery and mobility | Predictive ML | article | 2021-2023,case_022
Pinterest,Social platforms,Find lookalike users for ad targeting,The machine learning behind delivering relevant ads,Predictive ML,ad ranking / targeting,2021,https://medium.com/pinterest-engineering/the-machine-learning-behind-delivering-relevant-ads-8987fc5ba1c0,article,2021-2023,Social platforms | Predictive ML | article | 2021-2023,case_023
Walmart,E-commerce and retail,Group products by type,Using Predictive and Gen AI to Improve Product Categorization at Walmart,Generative AI & LLM,item classificatiion,2024,https://medium.com/walmartglobaltech/using-predictive-and-gen-ai-to-improve-product-categorization-at-walmart-dc9821c6a481,article,2024+,E-commerce and retail | Generative AI & LLM | article | 2024+,case_024
Doordash,Delivery and mobility,Detect content gaps and draft answers,A scalable LLM approach to enhancing chatbot knowledge with user-generated content,RAG,"customer support,chatbot",2025,https://careersatdoordash.com/blog/doordash-llm-chatbot-knowledge-with-ugc/,article,2024+,Delivery and mobility | RAG | article | 2024+,case_025
Mercado Libre,E-commerce and retail,Generate attractive push notifications,How we design our push notifications strategy so that customers interact with our product,Predictive ML,product feature,2021,https://medium.com/mercadolibre-tech/how-we-design-our-push-notifications-strategy-so-that-customers-interact-with-our-product-fda8a3c4be01,article,2021-2023,E-commerce and retail | Predictive ML | article | 2021-2023,case_026
Netguru,Tech,AI sales agent,From Slack Bot to Sales Brain: How We Built Our AI Agent,AI agents,ops,2025,https://www.netguru.com/blog/how-we-built-an-ai-agent,article,2024+,Tech | AI agents | article | 2024+,case_027
Plaid,Fintech and banking,Verify a potential borrower's income,"How we use machine learning to power accurate, real-time income verification",Predictive ML,"ops,lead scoring",2023,https://plaid.com/blog/machine-learning-income-verification/,article,2021-2023,Fintech and banking | Predictive ML | article | 2021-2023,case_028
Rovio,Gaming,Personalize game experience for individual players,MLOps at Rovio for Personalization Self Service Reinforcement Learning in Production,Predictive ML,"content personalization,product feature",2023,https://www.youtube.com/watch?v=_Rqo6nooKKE,video,2021-2023,Gaming | Predictive ML | video | 2021-2023,case_029
Playtika,Gaming,Personalize gaming experience,Lessons learned from multi-armed bandits in real-time production,Predictive ML,recommender system,2024,https://medium.com/@playtika-tech-ai/lessons-learned-from-multi-armed-bandits-in-real-time-production-777f2bdd4f5f,article,2024+,Gaming | Predictive ML | article | 2024+,case_030
Linkedin,Social platforms,RAG system for customer service,[PAPER] Retrieval-Augmented Generation with Knowledge Graphs for Customer Service Question Answering,RAG,"customer support,search",2024,https://arxiv.org/pdf/2404.17723,article,2024+,Social platforms | RAG | article | 2024+,case_031
Mozilla,Tech,Predict the outcome of software tests,Testing Firefox more efficiently with machine learning,Predictive ML,software ops,2020,https://hacks.mozilla.org/2020/07/testing-firefox-more-efficiently-with-machine-learning/,article,2017-2020,Tech | Predictive ML | article | 2017-2020,case_032
Replit,Tech,Finetuning LLMs for code repairs,Building LLMs for Code Repair,Generative AI & LLM,product feature,2024,https://blog.replit.com/code-repair,article,2024+,Tech | Generative AI & LLM | article | 2024+,case_033
Harvard,Education,Build AI teaching assistant,An AI Professor at Harvard: ChatLTV,RAG,"chatbot,product feature",2023,https://www.linkedin.com/pulse/ai-professor-harvard-chatltv-jeffrey-bussgang-oiaie/,article,2021-2023,Education | RAG | article | 2021-2023,case_034
Salesforce,Tech,AI agent for event management ,How We Built the First Dreamforce Event Agent in 5 Days with Agentforce,AI agents,ops,2024,https://www.salesforce.com/blog/build-an-ai-agent/,article,2024+,Tech | AI agents | article | 2024+,case_035
Linkedin,Social platforms,Transforms natural language questions into SQL,Practical text-to-SQL for data analytics,Predictive ML,data analytics,2024,https://www.linkedin.com/blog/engineering/ai/practical-text-to-sql-for-data-analytics,article,2024+,Social platforms | Predictive ML | article | 2024+,case_036
Digits,Fintech and banking,Spots inconsistencies in ledgers,Assisting Accountants with Similarity-based Machine Learning,NLP,product feature,2023,https://digits.com/developer/posts/assisting-accountants-with-similarity-based-machine-learning/,article,2021-2023,Fintech and banking | NLP | article | 2021-2023,case_037
Booking,"Travel,E-commerce and retail",Suggest relevant responses to customer inquiries,Building a GenAI Agent for Partner-Guest Messaging,AI agents,"product feature,customer support",2025,https://booking.ai/building-a-genai-agent-for-partner-guest-messaging-f54afb72e6cf,article,2024+,"Travel,E-commerce and retail | AI agents | article | 2024+",case_038
Leboncoin,E-commerce and retail,Build internal chatbot,Once Upon a Chat Bot: The Ada Story at leboncoin,Generative AI & LLM,chatbot,2025,https://medium.com/leboncoin-tech-blog/once-upon-a-chat-bot-the-ada-story-at-leboncoin-1a4c52000d82,article,2024+,E-commerce and retail | Generative AI & LLM | article | 2024+,case_039
SumUp,Fintech and banking,Generate financial crime report narratives,Evaluating the performance of an LLM application that generates free-text narratives in the context of financial crime,Generative AI & LLM,data analytics,2023,https://medium.com/inside-sumup/evaluating-the-performance-of-an-llm-application-that-generates-free-text-narratives-in-the-context-c402a0136518,article,2021-2023,Fintech and banking | Generative AI & LLM | article | 2021-2023,case_040
Delivery Hero,Delivery and mobility,Automate product attribute extraction,How Delivery Hero Uses Agentic AI for Building a Product Knowledge Base,AI agents,search,2025,https://tech.deliveryhero.com/blog/how-delivery-hero-uses-agentic-ai-for-building-a-product-knowledge-base/,article,2024+,Delivery and mobility | AI agents | article | 2024+,case_041
Etsy,E-commerce and retail,Personalize ads in real time,Leveraging Real-Time User Actions to Personalize Etsy Ads,Predictive ML,"product feature,ad ranking / targeting",2023,https://www.etsy.com/uk/codeascraft/leveraging-real-time-user-actions-to-personalize-etsy-ads,article,2021-2023,E-commerce and retail | Predictive ML | article | 2021-2023,case_042
Doordash,Delivery and mobility,Predict food delivery times,"Improving ETAs with Multi-Task Models, Deep Learning, and Probabilistic Forecasts",Predictive ML,ETA prediction,2024,https://doordash.engineering/2024/03/12/improving-etas-with-multi-task-models-deep-learning-and-probabilistic-forecasts/,article,2024+,Delivery and mobility | Predictive ML | article | 2024+,case_043
Swiggy,Delivery and mobility,Сonversational and open-ended search,Swiggy’s Generative AI Journey: A Peek Into the Future,Generative AI & LLM,search,2023,https://bytes.swiggy.com/swiggys-generative-ai-journey-a-peek-into-the-future-2193c7166d9a,article,2021-2023,Delivery and mobility | Generative AI & LLM | article | 2021-2023,case_044
Upwork,Tech,AI assistant for hiring process,"Why Upwork Relies On In-House AI Research To Power Uma, Upwork’s Mindful AI",AI agents,"ops,HR tasks",2025,https://www.upwork.com/blog/why-upwork-relies-on-in-house-ai-research-to-power-uma-upworks-mindful-ai,article,2024+,Tech | AI agents | article | 2024+,case_045
Zynga,Gaming,Personalize push notification timing,Deep Reinforcement Learning in Production Part 2: Personalizing User Notifications,Predictive ML,content personalization,2020,https://towardsdatascience.com/deep-reinforcement-learning-in-production-part-2-personalizing-user-notifications-812a68ce2355,article,2017-2020,Gaming | Predictive ML | article | 2017-2020,case_046
Linkedin,Social platforms,Estimate the impact of product changes,Ocelot: Scaling observational causal inference at LinkedIn,Predictive ML,causality,2022,https://engineering.linkedin.com/blog/2022/ocelot--scaling-observational-causal-inference-at-linkedin,article,2021-2023,Social platforms | Predictive ML | article | 2021-2023,case_047
Netflix,Media and streaming,Predict user intent,FM-Intent: Predicting User Session Intent with Hierarchical Multi-Task Learning,Generative AI & LLM,recommender system,2025,https://netflixtechblog.com/fm-intent-predicting-user-session-intent-with-hierarchical-multi-task-learning-94c75e18f4b8,article,2024+,Media and streaming | Generative AI & LLM | article | 2024+,case_048
Haleon,Manufacturing,Optimize marketing spending ROI,Using Reinforcement Learning to track marketing spend,Predictive ML,"ops,data analytics",2023,https://medium.com/trusted-data-science-haleon/using-reinforcement-learning-to-track-marketing-spend-db67e843476b,article,2021-2023,Manufacturing | Predictive ML | article | 2021-2023,case_049
Gojek,Delivery and mobility,Predict food delivery times,How We Estimate Food Debarkation Time With 'Tensoba',Predictive ML,ETA prediction,2022,https://www.gojek.io/blog/food-debarkation-tensoba,article,2021-2023,Delivery and mobility | Predictive ML | article | 2021-2023,case_050
Picnic,Delivery and mobility,Spot issues before delivering items to a customer,Adding Eyes to Picnic’s Automated Warehouses,CV,ops,2025,https://blog.picnic.nl/adding-eyes-to-picnics-automated-warehouses-8b6c70613e2f,article,2024+,Delivery and mobility | CV | article | 2024+,case_051
Lifen,Tech,Explain NLP predictions,Visual Explainable NLP @ Lifen,NLP,ops,2023,https://medium.com/lifen-engineering/visual-explainable-nlp-lifen-4d4dd5007205,article,2021-2023,Tech | NLP | article | 2021-2023,case_052
LinkedIn,Social platforms,Suggest new connections on social network,Building a Large-Scale Recommendation System: People You May Know,Predictive ML,"recommender system,product feature",2024,https://www.linkedin.com/blog/engineering/recommendations/building-a-large-scale-recommendation-system-people-you-may-know,article,2024+,Social platforms | Predictive ML | article | 2024+,case_053
Trivago,"Travel,E-commerce and retail",Search system for travel app,Behind trivago's Smart AI Search: From Concept to Reality,Predictive ML,search,2024,https://tech.trivago.com/post/2024-12-17-behind-trivagos-ai-search-from-concept-to-reality,article,2024+,"Travel,E-commerce and retail | Predictive ML | article | 2024+",case_054
Dropbox,Tech,Identify date formats in file names,Is this a date? Using ML to identify date formats in file names,Predictive ML,"ops,product feature",2023,https://dropbox.tech/machine-learning/using-ml-to-identify-date-formats-in-file-names,article,2021-2023,Tech | Predictive ML | article | 2021-2023,case_055
Segment,Tech,Define audience segments with natural language,LLM-as-Judge: Evaluating and Improving Language Model Performance in Production,Generative AI & LLM,product feature,2024,https://segment.com/blog/llm-as-judge/,article,2024+,Tech | Generative AI & LLM | article | 2024+,case_056
Whatnot,E-commerce and retail,Improve user search experience,Enhancing Search Using Large Language Models,Generative AI & LLM,search,2023,https://medium.com/whatnot-engineering/enhancing-search-using-large-language-models-f9dcb988bdb9,article,2021-2023,E-commerce and retail | Generative AI & LLM | article | 2021-2023,case_057
Uber,Delivery and mobility,Personalize Out-of-App communications,Personalized Marketing at Scale: Uber’s Out-of-App Recommendation System,Predictive ML,recommender system,2024,https://www.uber.com/en-GB/blog/personalized-marketing-at-scale/ ,article,2024+,Delivery and mobility | Predictive ML | article | 2024+,case_058
Vimeo,Media and streaming,Customer support AI assistant,From idea to reality: Elevating our customer support through generative AI,Generative AI & LLM,customer support,2023,https://medium.com/vimeo-engineering-blog/from-idea-to-reality-elevating-our-customer-support-through-generative-ai-101a2c5ea680,article,2021-2023,Media and streaming | Generative AI & LLM | article | 2021-2023,case_059
Wayfair,E-commerce and retail,Assign color names to products,From RGB to Descriptive Color Names: Wayfair's in-house color algorithms to improve customer shopping experience.,Predictive ML,item classification,2021,https://www.aboutwayfair.com/careers/tech-blog/from-rgb-to-descriptive-color-names-wayfairs-in-house-color-algorithms-to-improve-customer-shopping-experience,article,2021-2023,E-commerce and retail | Predictive ML | article | 2021-2023,case_060
Scribd,Media and streaming,Classify user-uploaded documents,Identifying Document Types at Scribd,CV,"product feature,item classification",2021,https://tech.scribd.com/blog/2021/identifying-document-types.html,article,2021-2023,Media and streaming | CV | article | 2021-2023,case_061
Linkedin,Social platforms,Job recommendations with fine-tuned LLMs,JUDE: LLM-based representation learning for LinkedIn job recommendations,Generative AI & LLM,"recommender system,HR tasks",2025,https://www.linkedin.com/blog/engineering/ai/jude-llm-based-representation-learning-for-linkedin-job-recommendations,article,2024+,Social platforms | Generative AI & LLM | article | 2024+,case_062
Doordash,Delivery and mobility,Extract information from images,How DoorDash Quickly Spins Up Multiple Image Recognition Use Cases,CV,"ops,search",2021,https://doordash.engineering/2021/11/03/how-doordash-quickly-spins-up-multiple-image-recognition-use-cases/,article,2021-2023,Delivery and mobility | CV | article | 2021-2023,case_063
Nextdoor,Social platforms,Predict harmful comments ,Using predictive technology to foster constructive conversations,NLP,spam / content moderation,2022,https://engblog.nextdoor.com/using-predictive-technology-to-foster-constructive-conversations-4af437942bd4,article,2021-2023,Social platforms | NLP | article | 2021-2023,case_064
Intercom,Tech,Building customer support chatbots with LLM,Building SaaS Products with LLMs at Intercom,Generative AI & LLM,customer support,2023,https://www.youtube.com/watch?v=VTrJqRfJ5gk,video,2021-2023,Tech | Generative AI & LLM | video | 2021-2023,case_065
Picnic,Delivery and mobility,Route support requests to agents,How we broke customer support language barriers without breaking production,NLP,customer support,2024,https://blog.picnic.nl/how-picnic-migrated-ml-architectures-without-sacrificing-operational-continuity-271c0e04014a,article,2024+,Delivery and mobility | NLP | article | 2024+,case_066
Wayfair,E-commerce and retail,Show relevant content to new customers,Share of Voice Optimization Engine,Predictive ML,content personalization,2021,https://www.aboutwayfair.com/careers/tech-blog/share-of-voice-optimization-engine,article,2021-2023,E-commerce and retail | Predictive ML | article | 2021-2023,case_067
Shopify,E-commerce and retail,Identify data points for sampled success metrics,Monte Carlo Simulations: Separating Signal from Noise in Sampled Success Metrics,Predictive ML,data analytics,2023,https://shopify.engineering/monte-carlo-simulations-sampled-success-metrics,article,2021-2023,E-commerce and retail | Predictive ML | article | 2021-2023,case_068
Airbnb,"Travel,E-commerce and retail",Improve customer support,How AI Text Generation Models Are Reshaping Customer Support at Airbnb,Generative AI & LLM,customer support,2022,https://medium.com/airbnb-engineering/how-ai-text-generation-models-are-reshaping-customer-support-at-airbnb-a851db0b4fa3,article,2021-2023,"Travel,E-commerce and retail | Generative AI & LLM | article | 2021-2023",case_069
Foodpanda,Delivery and mobility,Classify restaurants and cuisines,Classifying restaurant cuisines with subjective labels,Predictive ML,item classification,2022,https://medium.com/foodpanda-data/classifying-restaurant-cuisines-with-subjective-labels-fa10012d18a9 ,article,2021-2023,Delivery and mobility | Predictive ML | article | 2021-2023,case_070
Airtable,Tech,Embeddings for better search,Building a Resilient Embedding System for Semantic Search at Airtable,Generative AI & LLM,search,2024,https://medium.com/airtable-eng/building-a-resilient-embedding-system-for-semantic-search-at-airtable-d5fdf27807e2,article,2024+,Tech | Generative AI & LLM | article | 2024+,case_071
Netflix,Media and streaming,Improve video quality at scale,For your eyes only: improving Netflix video quality with neural networks,Predictive ML,"ops,product feature",2022,https://netflixtechblog.com/for-your-eyes-only-improving-netflix-video-quality-with-neural-networks-5b8d032da09c,article,2021-2023,Media and streaming | Predictive ML | article | 2021-2023,case_072
Spotify,Media and streaming,Improve developer productivity,Background Coding Agents: Predictable Results Through Strong Feedback Loops (Part 3),AI agents,code generation / review,2025,https://engineering.atspotify.com/2025/12/feedback-loops-background-coding-agents-part-3,article,2024+,Media and streaming | AI agents | article | 2024+,case_073
Netflix,Media and streaming,Improve streaming quality,Using Machine Learning to Improve Streaming Quality at Netflix,Predictive ML,"ops,product feature",2018,https://netflixtechblog.com/using-machine-learning-to-improve-streaming-quality-at-netflix-9651263ef09f,article,2017-2020,Media and streaming | Predictive ML | article | 2017-2020,case_074
Delivery Hero,Delivery and mobility,Recommend restaurants for new customers,Personalisation @ Delivery Hero: Ranking restaurants for new users,Predictive ML,recommender system,2023,https://tech.deliveryhero.com/personalisation-delivery-hero-ranking-restaurants-for-new-users/,article,2021-2023,Delivery and mobility | Predictive ML | article | 2021-2023,case_075
Meta,Social platforms,Generate code with LLM,"Introducing Code Llama, a state-of-the-art large language model for coding",Generative AI & LLM,code generation / review,2023,https://ai.meta.com/blog/code-llama-large-language-model-coding/,article,2021-2023,Social platforms | Generative AI & LLM | article | 2021-2023,case_076
Gojek,Delivery and mobility,Generate names for pickup points,How Gojek Uses NLP to Name Pickup Locations at Scale,NLP,"product feature,ops",2020,https://www.gojek.io/blog/nlp-cartobert,article,2017-2020,Delivery and mobility | NLP | article | 2017-2020,case_077
Binance,Fintech and banking,Detect fraudlent proof of payment,Binance P2P’s Invisible Guardians: Using Computer Vision to Detect Fraud,CV,fraud detection,2024,https://www.binance.com/en/blog/tech/7256282002014933080,article,2024+,Fintech and banking | CV | article | 2024+,case_078
Netflix,Media and streaming,Causal inference use cases,Round 2: A Survey of Causal Inference Applications at Netflix,Predictive ML,causality,2024,https://netflixtechblog.com/round-2-a-survey-of-causal-inference-applications-at-netflix-fd78328ee0bb,article,2024+,Media and streaming | Predictive ML | article | 2024+,case_079
Coinbase,Fintech and banking,Predict spikes in user traffic,How Coinbase is Using Machine Learning to Predict Traffic and Scale Databases,Predictive ML,demand forecasting,2024,https://www.coinbase.com/blog/how-coinbase-is-using-machine-learning-to-predict,article,2024+,Fintech and banking | Predictive ML | article | 2024+,case_080
Zillow,E-commerce and retail,Generate floor plans from photos,"Zillow Floor Plan: Training Models to Detect Windows, Doors and Openings in Panoramas",CV,product feature,2020,https://www.zillow.com/tech/training-models-to-detect-windows-doors-in-panos/,article,2017-2020,E-commerce and retail | CV | article | 2017-2020,case_081
Picnic,Delivery and mobility,Predict delivery drop times,Optimal drop times using machine learning,Predictive ML,ETA prediction,2020,https://blog.picnic.nl/the-trade-off-between-efficiency-and-being-on-time-optimizing-drop-times-using-machine-learning-d3f6fb1b0f31,article,2017-2020,Delivery and mobility | Predictive ML | article | 2017-2020,case_082
Spotify,Media and streaming,Migrate codebase,"Rewriting all of Spotify's code base, all the time",AI agents,software ops,2025,https://www.youtube.com/watch?v=1oicrAfrEIk,video,2024+,Media and streaming | AI agents | video | 2024+,case_083
Etsy,E-commerce and retail,Search by image,From Image Classification to Multitask Modeling: Building Etsy’s Search by Image Feature,CV,search,2023,https://www.etsy.com/codeascraft/from-image-classification-to-multitask-modeling-building-etsys-search-by-image-feature,article,2021-2023,E-commerce and retail | CV | article | 2021-2023,case_084
Dailymotion,Media and streaming,Automatically categorize videos ,How we used Cross-Lingual Transfer Learning to categorize our content,NLP,item classification,2020,https://medium.com/dailymotion/how-we-used-cross-lingual-transfer-learning-to-categorize-our-content-c8e0f9c1c6c3,article,2017-2020,Media and streaming | NLP | article | 2017-2020,case_085
LinkedIn,Social platforms,AI hiring assistant,The LinkedIn Generative AI Application Tech Stack: Extending to Build AI Agents,AI agents,"ops,HR tasks",2025,https://www.linkedin.com/blog/engineering/generative-ai/the-linkedin-generative-ai-application-tech-stack-extending-to-build-ai-agents,article,2024+,Social platforms | AI agents | article | 2024+,case_086
iFood,Delivery and mobility,Food ordering AI agent,From Zero to AILO,AI agents,product feature,2025,https://www.youtube.com/watch?v=uevJBcXKLlQ,video,2024+,Delivery and mobility | AI agents | video | 2024+,case_087
Linear,Tech,Detect and manage duplicate issues ,Using AI to detect similar issues,Generative AI & LLM,search,2023,https://linear.app/now/using-ai-to-detect-similar-issues,article,2021-2023,Tech | Generative AI & LLM | article | 2021-2023,case_088
Ramp,Fintech and banking,Automate expense management with AI agents,How To Build Agents Users Can Trust,AI agents,product feature,2025,https://engineering.ramp.com/post/how-to-build-agents-users-can-trust,article,2024+,Fintech and banking | AI agents | article | 2024+,case_089
Intercom,Tech,Voice AI agent,[VIDEO] Shipping an Enterprise Voice AI Agent in 100 Days,AI agents,"voice interface,product feature",2025,https://www.youtube.com/watch?v=HOYLZ7IVgJo,video,2024+,Tech | AI agents | video | 2024+,case_090
Thomson Reuters,Media and streaming,Improve customer support ,Better Customer Support Using Retrieval-Augmented Generation (RAG) at Thomson Reuters,RAG,customer support,2024,https://medium.com/tr-labs-ml-engineering-blog/better-customer-support-using-retrieval-augmented-generation-rag-at-thomson-reuters-4d140a6044c3,article,2024+,Media and streaming | RAG | article | 2024+,case_091
GetYourGuide,"Travel,E-commerce and retail",Improve visual content,"How We Use AI to Optimize Travel
Images",CV,ops,2024,https://www.getyourguide.careers/posts/how-we-use-ai-to-optimize-travel-images,article,2024+,"Travel,E-commerce and retail | CV | article | 2024+",case_092
Ebay,E-commerce and retail,Enhance personalized e-commerce recommendations,Mercury: Agentic AI Platform for LLM Powered Recommendation Experiences at eBay,AI agents,recommender system,2025,https://www.linkedin.com/pulse/mercury-agentic-ai-platform-llm-powered-experiences-ebay-chowdhury-kka8e/,article,2024+,E-commerce and retail | AI agents | article | 2024+,case_093
Linkedin,Social platforms,Serve personalized learning recommendations,"A closer look at the AI behind course recommendations on LinkedIn Learning, Part 1",Predictive ML,recommender system,2020,https://engineering.linkedin.com/blog/2020/course-recommendations-ai-part-one,article,2017-2020,Social platforms | Predictive ML | article | 2017-2020,case_094
Foodpanda,Delivery and mobility,Balance demand and supply for food delivery,Introduction: Optimising Budget through Machine Learning,Predictive ML,demand forecasting,2024,https://medium.com/foodpanda-data/introduction-optimising-budget-through-data-analysis-030b2f39ad0c,article,2024+,Delivery and mobility | Predictive ML | article | 2024+,case_095
Instacart,Delivery and mobility,Autocomplete user searches in e-commerce,How Instacart Uses Machine Learning-Driven Autocomplete to Help People Fill Their Carts,NLP,"search,product feature",2022,https://tech.instacart.com/how-instacart-uses-machine-learning-driven-autocomplete-to-help-people-fill-their-carts-9bc56d22bafb,article,2021-2023,Delivery and mobility | NLP | article | 2021-2023,case_096
"
Kingfisher Technology",E-commerce and retail,Analyze key themes in customer surveys,Uncovering Hidden Insights in Customer Feedback,NLP,item classification,2023,https://medium.com/kingfisher-technology/uncovering-hidden-insights-in-customer-feedback-824daa16fa37,article,2021-2023,E-commerce and retail | NLP | article | 2021-2023,case_097
Zillow,E-commerce and retail,Rank homes to buy ,Guided Search — Personalized Search Refinements to Help Customers Find their Dream Home,Predictive ML,"search,product feature",2020,https://www.zillow.com/tech/personalized-search-refinements/ ,article,2017-2020,E-commerce and retail | Predictive ML | article | 2017-2020,case_098
Haleon,Manufacturing,Analyze consumer feedback,Deriving insights from customer queries on Haleon brands,NLP,item classification,2023,https://medium.com/trusted-data-science-haleon/deriving-insights-from-customer-queries-on-haleon-brands-86f7e01b912c,article,2021-2023,Manufacturing | NLP | article | 2021-2023,case_099
